"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"variables supervision_IRRADIATION";"04/06/2024 19:27:13";0;1;45447810572,3727
"DATA LOGGER_VALUE{0}";"04/06/2024 19:27:13";243;1;45447810572,3727
"DATA LOGGER_VALUE{1}";"04/06/2024 19:27:13";296;1;45447810572,3727
"DATA LOGGER_VALUE{5}";"04/06/2024 19:27:13";571;1;45447810572,3727
"variables supervision_ANGLE VENT";"04/06/2024 19:27:13";251;1;45447810572,3727
"variables supervision_VITESSE VENT";"04/06/2024 19:27:13";34;1;45447810572,3727
"DATA_METEO_Static_1{16}";"04/06/2024 19:27:13";295;1;45447810572,3727
"variables supervision_IRRADIATION";"04/06/2024 19:28:13";0;1;45447811266,5162
"DATA LOGGER_VALUE{0}";"04/06/2024 19:28:13";243;1;45447811266,5162
"DATA LOGGER_VALUE{1}";"04/06/2024 19:28:13";296;1;45447811266,5162
"DATA LOGGER_VALUE{5}";"04/06/2024 19:28:13";571;1;45447811266,5162
"variables supervision_ANGLE VENT";"04/06/2024 19:28:13";251;1;45447811266,5162
"variables supervision_VITESSE VENT";"04/06/2024 19:28:13";34;1;45447811266,5162
"DATA_METEO_Static_1{16}";"04/06/2024 19:28:13";295;1;45447811266,5162
"variables supervision_IRRADIATION";"04/06/2024 19:29:13";0;1;45447811960,4977
"DATA LOGGER_VALUE{0}";"04/06/2024 19:29:13";243;1;45447811960,4977
"DATA LOGGER_VALUE{1}";"04/06/2024 19:29:13";296;1;45447811960,4977
"DATA LOGGER_VALUE{5}";"04/06/2024 19:29:13";571;1;45447811960,4977
"variables supervision_ANGLE VENT";"04/06/2024 19:29:13";251;1;45447811960,4977
"variables supervision_VITESSE VENT";"04/06/2024 19:29:13";34;1;45447811960,4977
"DATA_METEO_Static_1{16}";"04/06/2024 19:29:13";295;1;45447811960,4977
"variables supervision_IRRADIATION";"04/06/2024 19:30:13";0;1;45447812655,6366
"DATA LOGGER_VALUE{0}";"04/06/2024 19:30:13";244;1;45447812655,6366
"DATA LOGGER_VALUE{1}";"04/06/2024 19:30:13";293;1;45447812655,6366
"DATA LOGGER_VALUE{5}";"04/06/2024 19:30:13";566;1;45447812655,6366
"variables supervision_ANGLE VENT";"04/06/2024 19:30:13";273;1;45447812655,6366
"variables supervision_VITESSE VENT";"04/06/2024 19:30:13";34;1;45447812655,6366
"DATA_METEO_Static_1{16}";"04/06/2024 19:30:13";271;1;45447812655,6366
"variables supervision_IRRADIATION";"04/06/2024 19:31:13";0;1;45447813349,4329
"DATA LOGGER_VALUE{0}";"04/06/2024 19:31:13";244;1;45447813349,4329
"DATA LOGGER_VALUE{1}";"04/06/2024 19:31:13";293;1;45447813349,4329
"DATA LOGGER_VALUE{5}";"04/06/2024 19:31:13";564;1;45447813349,4329
"variables supervision_ANGLE VENT";"04/06/2024 19:31:13";217;1;45447813349,4329
"variables supervision_VITESSE VENT";"04/06/2024 19:31:13";50;1;45447813349,4329
"DATA_METEO_Static_1{16}";"04/06/2024 19:31:13";271;1;45447813349,4329
"variables supervision_IRRADIATION";"04/06/2024 19:32:13";0;1;45447814044,7106
"DATA LOGGER_VALUE{0}";"04/06/2024 19:32:13";246;1;45447814044,7106
"DATA LOGGER_VALUE{1}";"04/06/2024 19:32:13";291;1;45447814044,7106
"DATA LOGGER_VALUE{5}";"04/06/2024 19:32:13";564;1;45447814044,7106
"variables supervision_ANGLE VENT";"04/06/2024 19:32:13";258;1;45447814044,7106
"variables supervision_VITESSE VENT";"04/06/2024 19:32:13";23;1;45447814044,7106
"DATA_METEO_Static_1{16}";"04/06/2024 19:32:13";261;1;45447814044,7106
"variables supervision_IRRADIATION";"04/06/2024 19:33:13";0;1;45447814738,7384
"DATA LOGGER_VALUE{0}";"04/06/2024 19:33:13";246;1;45447814738,7384
"DATA LOGGER_VALUE{1}";"04/06/2024 19:33:13";292;1;45447814738,7384
"DATA LOGGER_VALUE{5}";"04/06/2024 19:33:13";560;1;45447814738,7384
"variables supervision_ANGLE VENT";"04/06/2024 19:33:13";220;1;45447814738,7384
"variables supervision_VITESSE VENT";"04/06/2024 19:33:13";9;1;45447814738,7384
